,workclass,education,marital-status,occupation,relationship,race,gender,net-income
74,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
75,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
76,Private,11th,Married-civ-spouse,Other-service,Husband,Black,Male,<=50
77,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,<=50
78,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
79,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
80,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
81,Private,Bachelors,Married-civ-spouse,Protective-serv,Husband,Black,Male,<=50
82,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
83,Federal-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
84,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
85,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Farming-fishing,Husband,White,Male,>50
86,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
87,State-gov,Prof-school,Widowed,Prof-specialty,Not-in-family,Other,Female,>50
88,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
89,Federal-gov,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,>50
90,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
91,Local-gov,Assoc-acdm,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,<=50
92,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,<=50
93,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
94,Self-emp-inc,HS-grad,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,>50
95,Self-emp-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,>50
96,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
97,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
98,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
99,Private,Some-college,Separated,Tech-support,Unmarried,White,Male,<=50
100,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,<=50
101,Federal-gov,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>50
102,Private,Assoc-voc,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,<=50
103,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,<=50
104,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
105,Self-emp-not-inc,Doctorate,Divorced,Prof-specialty,Unmarried,White,Male,<=50
106,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
107,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,<=50
108,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
109,Private,HS-grad,Never-married,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,<=50
110,Local-gov,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,Black,Male,<=50
111,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,<=50
112,Self-emp-inc,Prof-school,Married-civ-spouse,Transport-moving,Husband,White,Male,>50
113,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
114,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
115,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
116,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
117,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
118,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,<=50
119,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>50
120,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
121,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
122,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
123,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50
124,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
125,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,<=50
126,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
127,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
128,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,Black,Male,<=50
129,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
130,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
131,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
132,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Female,<=50
133,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
134,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
135,State-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,>50
136,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
137,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
138,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
139,Private,Assoc-acdm,Never-married,Tech-support,Not-in-family,Black,Male,<=50
140,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,>50
141,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
142,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
143,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,>50
144,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,>50
145,Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,<=50
146,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,<=50
147,Private,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50
148,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,<=50
149,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
150,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,<=50
151,Local-gov,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
152,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
153,Private,Bachelors,Divorced,Other-service,Unmarried,White,Female,<=50
154,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,>50
155,State-gov,Masters,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50
156,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
157,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
158,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
159,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
160,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
161,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,<=50
162,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
163,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
164,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Black,Male,<=50
165,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
166,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,<=50
167,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
168,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
169,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
170,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
171,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
172,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
173,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
174,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
175,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50
176,State-gov,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,>50
177,Private,Masters,Separated,Exec-managerial,Not-in-family,White,Male,<=50
178,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
179,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,<=50
180,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
181,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
182,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
183,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
184,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
185,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50
186,Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
187,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
188,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
189,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50
190,Private,Assoc-acdm,Married-civ-spouse,Farming-fishing,Husband,White,Male,>50
191,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Other,Male,<=50
192,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
193,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
194,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
195,Private,Prof-school,Separated,Tech-support,Not-in-family,White,Male,<=50
196,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,<=50
197,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,<=50
198,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
199,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Male,<=50
200,Federal-gov,Masters,Never-married,Adm-clerical,Not-in-family,White,Female,<=50
201,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
202,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
203,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
204,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
205,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
206,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50
207,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
208,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
209,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,<=50
210,Private,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,<=50
211,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
212,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Female,<=50
213,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,<=50
214,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
215,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
216,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
217,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
218,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
219,Private,Bachelors,Never-married,Sales,Not-in-family,Other,Female,<=50
220,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
221,Private,9th,Divorced,Craft-repair,Not-in-family,White,Female,<=50
222,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
223,Private,Some-college,Married-civ-spouse,Tech-support,Wife,White,Female,<=50
224,State-gov,Prof-school,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
225,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
226,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
227,Private,Some-college,Divorced,Prof-specialty,Not-in-family,Black,Female,<=50
228,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
229,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
230,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
231,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
232,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
233,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
234,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
235,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
236,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,<=50
237,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
238,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
239,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
240,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
241,Private,Masters,Widowed,Exec-managerial,Unmarried,White,Male,>50
242,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50
243,Private,Some-college,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,<=50
244,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,<=50
245,Private,Bachelors,Separated,Prof-specialty,Not-in-family,White,Male,<=50
246,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
247,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
248,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
249,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
250,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
251,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50
252,Self-emp-not-inc,11th,Widowed,Exec-managerial,Not-in-family,White,Female,<=50
253,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
254,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
255,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
256,Private,10th,Married-civ-spouse,Transport-moving,Husband,Black,Male,<=50
257,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
258,Private,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50
259,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
260,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
261,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
262,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,Black,Male,<=50
263,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
264,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
265,Federal-gov,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
266,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
267,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
268,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,<=50
269,Private,Some-college,Married-civ-spouse,Craft-repair,Wife,White,Female,<=50
270,Federal-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,>50
271,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
272,Private,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
273,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
274,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
275,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
276,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
277,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
278,Private,Assoc-acdm,Married-civ-spouse,Other-service,Wife,White,Female,<=50
279,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
280,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
281,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
282,Local-gov,Masters,Divorced,Exec-managerial,Unmarried,Black,Female,<=50
283,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
284,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50
285,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,>50
286,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
287,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,Black,Female,<=50
288,Self-emp-not-inc,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
289,Private,Some-college,Married-civ-spouse,Tech-support,Wife,White,Female,<=50
290,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,<=50
291,Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,<=50
292,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
293,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
294,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,Female,<=50
295,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
296,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
297,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,>50
298,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,Black,Female,<=50
299,Private,Bachelors,Married-civ-spouse,Tech-support,Wife,White,Female,<=50
300,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
301,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
302,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
303,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
304,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,>50
305,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,<=50
306,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
307,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50
308,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
309,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50
310,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,<=50
311,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
312,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
313,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,>50
314,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
315,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
316,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Wife,Black,Female,<=50
317,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
318,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50
319,Federal-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
320,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,<=50
321,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
322,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
323,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
324,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
325,Local-gov,Masters,Widowed,Prof-specialty,Not-in-family,Black,Female,<=50
